baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G52191	133.160343310803	-1.54816631478623	0.445807672556618	-3.4727224542992	0.000515207846827608	0.0107067026252283
AT1G52200	27389.3363450188	-1.00597782343118	0.313324716449052	-3.21065581685367	0.00132432449101592	0.022342692576488
AT1G52560	372.393338862624	-1.17964914194351	0.31573243499226	-3.73623046353291	0.00018679947659488	0.00472096605489888
AT1G52570	761.187976985491	1.05730793625291	0.214245675935474	4.93502579053846	8.0140169227054e-07	4.65326465438734e-05
AT1G53090	2882.91072915792	1.56697426199291	0.212757078874745	7.36508637118214	1.77032209736136e-13	4.44753989093536e-11
AT1G53670	10962.5535330165	1.55789896018878	0.279887330932768	5.56616462416088	2.60407241800215e-08	2.27064376406827e-06
AT1G53680	2688.06853134342	2.13331939066461	0.228576624562314	9.33306017073953	1.02857405765843e-20	6.10602207338435e-18
AT1G55430	4589.99642136677	-1.0938244777901	0.298743294410089	-3.66141934649953	0.000250821824502848	0.00599279941142681
AT1G56130	3177.33000915552	-1.02120319043262	0.241311602030963	-4.23188600066394	2.31739865722096e-05	0.000846067245011866
AT1G56240	2559.16975135594	-1.50538891465038	0.254636633939655	-5.91191020459034	3.38162885604282e-09	3.68263736451633e-07
AT1G56250	11665.6157039117	-1.40692943097187	0.278719431715474	-5.04783402546582	4.46847075705059e-07	2.83457442473504e-05
AT1G56600	3676.86033824981	1.3186218918683	0.26478940436406	4.97988918791976	6.362069060641e-07	3.87125036797853e-05
AT1G56650	2457.95742644526	3.44389860693449	0.139952959184407	24.6075440419712	1.0488731351359e-133	2.66141069309383e-129
AT1G57850	285.922501148471	-2.49928924374504	0.391096671237345	-6.39046411680731	1.65383012261958e-10	2.39795917321995e-08
AT1G57906	760.715182031422	-1.27074122288311	0.318259634365574	-3.99278163382623	6.53027008667905e-05	0.00199878254739921
AT1G58050	17.2286975468374	-2.53695672662216	0.836071161407196	-3.03437894251991	0.00241031467032435	0.0353201061244899
AT1G58420	4352.03078505844	-1.08815091462907	0.315310022789988	-3.45105082610657	0.000558408398523739	0.0113716329888775
AT1G58520	3098.62946797169	1.44304336314386	0.336714587840466	4.28565739429017	1.82199596731918e-05	0.000688991440756435
AT1G59810	41.8394709476707	-2.07151275549577	0.499820460924832	-4.14451371531047	3.40535575581013e-05	0.00115983217379767
AT1G59880	31.7259810578494	-2.20092077212612	0.45392034987649	-4.84869376912708	1.24277098987516e-06	6.81081449181258e-05
